Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
101,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1529,3101,3423,5206,664,1134,1833,2291,308,651,1035,1056,159,268,466,466,30.9,76
101,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3287,3468,7882,7882,1148,1284,2763,2763,747,747,1054,1075,212,212,601,601,33.7,80
101,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",3088,5190,7181,8719,1407,2001,2405,2954,726,1220,1419,1480,373,441,1021,1021,28.9,97
101,"Electrical Engineering (4 Years, Bachelor of Technology)",5193,7714,10066,12898,2114,2692,3404,4912,1242,1765,2431,2431,511,599,1022,1022,27.7,93
101,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",7414,7902,15560,15560,2891,3014,5790,5790,1977,1977,2450,2450,767,767,1041,1041,34.6,70
101,"Mechanical Engineering (4 Years, Bachelor of Technology)",7844,10826,14914,17907,3064,3847,5563,7075,1971,2294,2245,2280,823,834,1516,1516,29.9,80
101,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",10414,11379,18777,18777,3814,4255,8565,8565,2031,2324,2264,2299,933,1277,1535,1535,27.9,86
101,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11643,12505,18956,18956,4453,4490,8584,8584,2442,2442,3393,3393,1280,1280,1554,1554,31.8,99
101,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11483,13116,20126,20126,4181,4298,7937,7937,2446,2446,4323,4323,1307,1307,1573,1573,21.1,65
101,"Civil Engineering (4 Years, Bachelor of Technology)",12511,14997,18989,21229,4326,5274,5905,7192,1941,2799,3985,3985,798,858,1349,1349,24.9,84
101,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",14819,15374,21572,21572,5351,5663,8395,8395,2744,2746,4004,4004,1233,1233,1514,1514,28.8,72
101,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",12432,15792,21407,22377,4741,5667,8414,8414,2860,3045,3949,3949,1240,1240,1529,1529,20.5,84
101,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15346,16123,22009,22009,5601,5991,8433,8433,2749,2749,3584,3584,1154,1154,1548,1548,33.9,88
101,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15676,16257,23463,23463,5807,5808,7176,7176,2910,3153,3603,3603,1398,1398,101,101,20.3,88
101,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",13350,16386,23095,23095,4896,5952,7195,7195,2142,2142,4616,4616,1025,1025,120,120,31.7,83
102,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1,67,56,291,10,58,59,227,2,27,31,113,1,10,40,87,25,72
102,"Electrical Engineering (4 Years, Bachelor of Technology)",142,481,573,1286,83,388,332,930,101,195,554,626,34,90,264,264,25.1,60
102,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",563,981,2250,3007,406,683,938,1524,196,393,613,957,99,208,323,323,26.2,81
102,"BS in Mathematics (4 Years, Bachelor of Science)",1059,1704,2702,3173,1101,1779,2823,2823,245,570,2249,2249,579,579,342,342,33.6,80
102,"Mechanical Engineering (4 Years, Bachelor of Technology)",493,1736,1792,4173,304,972,1227,2457,221,496,636,1226,86,261,344,513,29.8,85
102,"Engineering Physics (4 Years, Bachelor of Technology)",321,1749,4503,5154,803,1546,2799,3228,529,897,2082,2329,534,784,1178,1178,28.6,72
102,"Economics (4 Years, Bachelor of Science)",1370,2102,2715,5963,717,1330,1343,1343,259,811,1654,1654,437,973,480,480,20.1,96
102,"Aerospace Engineering (4 Years, Bachelor of Technology)",772,2694,3713,4647,544,1588,1692,3689,59,952,1156,1926,227,475,365,365,24.3,98
102,"Chemical Engineering (4 Years, Bachelor of Technology)",1509,2824,3069,5426,542,1449,1961,3421,154,936,664,1655,142,487,402,502,30.9,93
102,"Energy Engineering (4 Years, Bachelor of Technology)",1762,2855,4565,5965,1395,1827,3717,3766,492,1229,1702,1702,732,818,874,874,30.5,75
102,"Civil Engineering (4 Years, Bachelor of Technology)",2290,4371,6178,7857,1078,2034,1854,4500,550,1115,1478,1796,217,335,336,770,26.8,71
102,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",2708,4649,5787,7924,1175,2461,4343,4688,837,1414,2229,2796,439,804,752,813,23.4,70
102,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",3806,5401,8179,10623,2167,3152,3939,4103,1195,1472,2287,2287,912,979,1045,1045,33.1,85
102,"Chemistry (4 Years, Bachelor of Science)",5243,9064,14327,14929,2800,4004,6818,6843,1610,2321,2890,2890,1306,1367,1226,1226,30.8,69
103,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1426,2909,4715,6596,725,1308,2127,2603,395,695,1101,1475,215,318,627,627,33.3,84
103,"Data Science and Engineering (4 Years, Bachelor of Technology)",2914,4089,7575,8467,1650,1846,2895,3552,736,1246,2084,2084,462,709,1293,1293,25,90
103,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",3539,4265,8841,9114,1596,1956,3606,3791,1244,1305,2397,2397,545,735,1312,1312,30.1,97
103,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",4294,7077,11401,11768,2280,3101,4643,4800,1484,1882,3027,3027,1143,1205,1331,1331,29.1,94
103,"Electrical Engineering (4 Years, Bachelor of Technology)",4863,7240,9915,12435,2469,2966,3845,5588,1255,1742,2477,2944,200,730,1297,1297,21,92
103,"Mechanical Engineering (4 Years, Bachelor of Technology)",7865,10590,15428,17462,3115,4207,7462,7860,1923,2192,2695,3710,987,1028,67,67,31.5,77
103,"Engineering Physics (4 Years, Bachelor of Technology)",8059,11408,18026,18976,4239,5287,8863,8863,2526,2728,3547,3547,1260,1402,86,86,32.4,86
103,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",9584,12260,18725,18857,4263,5433,8882,8882,2808,3080,3410,3410,1159,1308,105,105,22.2,83
103,"Civil Engineering (4 Years, Bachelor of Technology)",10645,13850,19552,21897,4265,4981,8452,8552,2376,2645,4031,4031,783,930,1447,1447,20,98
103,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",12588,15784,21599,22150,5468,5906,8471,8571,2791,3056,4657,4657,1352,1535,1466,1466,27.4,64
103,"Bio Engineering (4 Years, Bachelor of Technology)",12350,16085,18296,21027,5748,6181,8490,8590,3052,3308,4152,4152,1443,1552,1485,1485,21.5,65
103,"BS in Chemical Sciences (4 Years, Bachelor of Science)",12658,17287,23604,24901,6201,6372,8509,8609,3382,3433,4651,4651,1446,1541,1504,1504,30.4,74
104,"Computer Science and Engineering (4 Years, Bachelor of Technology)",16,118,91,419,60,105,252,318,10,49,124,129,18,24,89,116,29.4,64
104,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",120,185,621,724,114,166,401,558,75,105,338,338,25,54,210,210,31.3,99
104,"Mathematics and Computing (4 Years, Bachelor of Technology)",135,352,432,815,150,248,446,862,51,152,518,701,47,80,223,223,26.9,79
104,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",357,429,1002,1198,251,325,885,1003,163,206,377,377,102,109,242,242,31.7,89
104,"Electrical Engineering (4 Years, Bachelor of Technology)",354,582,879,1693,207,456,487,1105,82,220,480,662,19,74,187,218,31.3,68
104,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",589,828,1894,2213,484,578,1177,1604,250,399,784,813,143,172,356,356,34.6,99
104,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",842,1255,2477,2752,632,812,1613,1913,453,640,841,841,226,280,473,473,22.7,60
104,"Mechanical Engineering (4 Years, Bachelor of Technology)",947,1791,2814,4077,655,1034,2572,2992,47,558,884,1416,177,295,678,678,26.7,74
104,"Chemical Engineering (4 Years, Bachelor of Technology)",1849,2365,3730,5442,1056,1446,2998,3274,569,848,1158,1274,384,494,649,649,32.5,95
104,"Engineering Physics (4 Years, Bachelor of Technology)",172,2783,4816,6549,1108,2065,3716,5238,723,1240,2416,2539,883,938,1292,1292,28.6,99
104,"Energy Engineering (4 Years, Bachelor of Technology)",2072,2910,5324,6008,1086,2073,4019,5452,977,1365,2641,2641,580,720,1578,1578,26,79
104,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",2082,3273,5534,7229,1060,2445,4561,5511,951,1460,2077,2769,666,967,1201,1201,31.9,90
104,"Materials Engineering (4 Years, Bachelor of Technology)",3146,4055,8080,10030,2043,2639,5609,5697,1418,1502,1809,1809,810,841,1387,1387,27.4,67
104,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2730,4362,6618,7402,1470,1986,4193,4299,700,1058,2061,2352,438,705,808,808,28.1,72
104,"Civil Engineering (4 Years, Bachelor of Technology)",2867,4472,7614,9291,911,2104,2205,4714,459,847,1314,1523,60,214,179,868,31.1,94
104,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",3596,5687,7230,10435,1155,2981,3857,5723,1111,1624,1927,2689,725,851,1442,1442,21.9,74
104,"Textile Technology (4 Years, Bachelor of Technology)",4529,6690,10404,11907,2813,3461,5742,6398,1625,2060,2845,3168,840,1086,1609,1609,21.9,83
105,"Computer Science and Engineering (4 Years, Bachelor of Technology)",914,1385,1970,2768,296,448,962,1187,198,339,423,548,103,134,175,175,31.5,74
105,"Mathematics and Computing (4 Years, Bachelor of Technology)",1809,2209,3535,3871,776,1319,1202,1623,584,908,1660,1660,358,394,664,664,26.6,78
105,"Electrical Engineering (4 Years, Bachelor of Technology)",2217,3632,5754,7527,1344,1820,2304,3615,470,1167,1762,2285,417,516,1064,1064,23.1,92
105,"Mechanical Engineering (4 Years, Bachelor of Technology)",4980,7474,9203,14668,2547,3217,5182,5517,1299,1732,2560,3157,558,728,1204,1204,33.3,87
105,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",6048,7821,13280,14142,2489,3492,6192,6192,1752,1775,2262,2262,1008,1008,1223,1223,25.1,95
105,"Engineering Physics (4 Years, Bachelor of Technology)",5834,8205,11731,13594,3389,4196,8034,8034,1956,2233,4013,4013,1241,1241,1242,1242,32.6,86
105,"Chemical Engineering (4 Years, Bachelor of Technology)",7553,9658,14877,15073,3233,4245,5832,5941,1958,2151,2828,2828,888,965,1490,1490,33.9,98
105,"Civil Engineering (4 Years, Bachelor of Technology)",9489,10994,14994,17993,2848,4204,6605,7000,1802,2146,2857,2964,669,684,1362,1362,32,79
105,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",10567,12217,16360,18102,4155,4684,6951,7959,2306,2708,4128,4203,1121,1248,289,289,24.8,74
106,"Computer Science and Engineering (4 Years, Bachelor of Technology)",164,279,523,702,111,160,335,384,55,92,29,170,16,32,132,132,27.5,60
106,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",281,632,1203,1346,200,345,755,897,123,175,451,474,45,75,468,468,22,68
106,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",562,1205,2186,2749,337,548,982,1141,103,326,676,676,85,135,182,182,26.8,96
106,"Mathematics and Computing (4 Years, Bachelor of Science)",915,1416,2195,3723,361,746,1565,1803,378,502,1239,1464,148,404,403,403,28.2,60
106,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1321,1639,3412,5137,781,1087,1180,1591,297,536,945,1573,246,303,583,583,33.2,80
106,"Electrical Engineering (4 Years, Bachelor of Technology)",1379,1833,3438,4865,637,895,1143,1699,350,501,725,915,178,241,362,362,30.9,89
106,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1863,2240,2329,5308,1091,1163,2117,2117,557,717,1421,1421,376,377,381,381,25.2,69
106,"Instrumentation Engineering (4 Years, Bachelor of Technology)",2050,2335,5594,6095,1013,1354,2270,2336,691,938,1761,1761,498,535,1235,1235,34.3,98
106,"Mechanical Engineering (4 Years, Bachelor of Technology)",2657,3294,6476,7331,1145,1659,2847,4166,336,955,1224,1764,419,497,715,715,29,80
106,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",2837,3918,7741,9158,1637,1959,2340,4202,755,1503,2564,2564,533,739,1222,1222,22.7,88
106,"Aerospace Engineering (4 Years, Bachelor of Technology)",3397,4773,8496,9120,1853,2297,3832,4257,958,1388,2126,2126,506,748,604,604,25.2,80
106,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",3448,4827,9590,11920,1899,2599,4411,6075,1061,1395,2054,2433,504,642,623,623,31.4,96
