Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
101,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1611,3142,3464,5247,705,1175,1874,2332,349,692,1076,1097,200,309,507,507,24.8,82
101,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3421,3535,7949,7949,1215,1351,2830,2830,814,814,1121,1142,279,279,668,668,26.8,61
101,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",3156,5224,7215,8753,1441,2035,2439,2988,760,1254,1453,1514,407,475,1055,1055,21.8,78
101,"Electrical Engineering (4 Years, Bachelor of Technology)",5193,7714,10066,12898,2114,2692,3404,4912,1242,1765,2431,2431,511,599,1022,1022,27.2,65
101,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",7552,7971,15629,15629,2960,3083,5859,5859,2046,2046,2519,2519,836,836,1110,1110,30.8,63
101,"Mechanical Engineering (4 Years, Bachelor of Technology)",7892,10850,14938,17931,3088,3871,5587,7099,1995,2318,2269,2304,847,858,1540,1540,28.3,97
101,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",10570,11457,18855,18855,3892,4333,8643,8643,2109,2402,2342,2377,1011,1355,1613,1613,20.9,89
101,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11759,12563,19014,19014,4511,4548,8642,8642,2500,2500,3451,3451,1338,1338,1612,1612,33.5,83
101,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11607,13178,20188,20188,4243,4360,7999,7999,2508,2508,4385,4385,1369,1369,1635,1635,22,75
101,"Civil Engineering (4 Years, Bachelor of Technology)",12639,15061,19053,21293,4390,5338,5969,7256,2005,2863,4049,4049,862,922,1413,1413,25,95
