Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
101,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1693,3224,3546,5329,787,1257,1956,2414,431,774,1158,1179,282,391,589,589,24.4,94
101,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3555,3669,8083,8083,1349,1485,2964,2964,948,948,1255,1276,413,413,802,802,24.5,76
101,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",3224,5292,7283,8821,1509,2103,2507,3056,828,1322,1521,1582,475,543,1123,1123,25.4,98
101,"Electrical Engineering (4 Years, Bachelor of Technology)",5193,7714,10066,12898,2114,2692,3404,4912,1242,1765,2431,2431,511,599,1022,1022,30.3,91
101,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",7690,8109,15767,15767,3098,3221,5997,5997,2184,2184,2657,2657,974,974,1248,1248,26.3,77
101,"Mechanical Engineering (4 Years, Bachelor of Technology)",7940,10898,14986,17979,3136,3919,5635,7147,2043,2366,2317,2352,895,906,1588,1588,30.3,80
101,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",10726,11613,19011,19011,4048,4489,8799,8799,2265,2558,2498,2533,1167,1511,1769,1769,32.1,60
101,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11875,12679,19130,19130,4627,4664,8758,8758,2616,2616,3567,3567,1454,1454,1728,1728,24.9,93
101,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11731,13302,20312,20312,4367,4484,8123,8123,2632,2632,4509,4509,1493,1493,1759,1759,22.2,92
101,"Civil Engineering (4 Years, Bachelor of Technology)",12767,15189,19181,21421,4518,5466,6097,7384,2133,2991,4177,4177,990,1050,1541,1541,26.7,71
101,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",14839,15389,21587,21587,5366,5678,8410,8410,2759,2761,4019,4019,1248,1248,1529,1529,30.2,72
101,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",12612,15927,21542,22512,4876,5802,8549,8549,2995,3180,4084,4084,1375,1375,1664,1664,31.6,63
101,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15670,16366,22252,22252,5844,6234,8676,8676,2992,2992,3827,3827,1397,1397,1791,1791,22.4,93
101,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15784,16338,23544,23544,5888,5889,7257,7257,2991,3234,3684,3684,1479,1479,182,182,26.8,93
101,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",13594,16569,23278,23278,5079,6135,7378,7378,2325,2325,4799,4799,1208,1208,303,303,25.1,88
102,"Computer Science and Engineering (4 Years, Bachelor of Technology)",365,340,329,564,283,331,332,500,275,300,304,386,274,283,313,360,24.5,74
102,"Electrical Engineering (4 Years, Bachelor of Technology)",522,766,858,1571,368,673,617,1215,386,480,839,911,319,375,549,549,29,93
102,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",731,1107,2376,3133,532,809,1064,1650,322,519,739,1083,225,334,449,449,20.3,69
102,"BS in Mathematics (4 Years, Bachelor of Science)",1167,1785,2783,3254,1182,1860,2904,2904,326,651,2330,2330,660,660,423,423,30.3,91
102,"Mechanical Engineering (4 Years, Bachelor of Technology)",637,1844,1900,4281,412,1080,1335,2565,329,604,744,1334,194,369,452,621,24.6,79
102,"Engineering Physics (4 Years, Bachelor of Technology)",685,2022,4776,5427,1076,1819,3072,3501,802,1170,2355,2602,807,1057,1451,1451,32,79
