CAT,EQ_CRL,CAT_CRL,MARKS
OBC-NCL,12,1,320
OBC-NCL,644,101,234
OBC-NCL,1159,201,213
OBC-NCL,1775,301,196
OBC-NCL,2355,401,184
OBC-NCL,2846,501,176
OBC-NCL,3326,601,170
OBC-NCL,3773,701,164
OBC-NCL,4236,801,160
OBC-NCL,4698,901,155
OBC-NCL,5115,1001,152
OBC-NCL,5615,1101,148
OBC-NCL,5953,1201,146
OBC-NCL,6323,1301,144
OBC-NCL,6665,1401,141
OBC-NCL,7068,1501,139
OBC-NCL,7416,1601,137
OBC-NCL,7738,1701,136
OBC-NCL,8120,1801,134
OBC-NCL,8508,1901,132
OBC-NCL,8872,2001,130
OBC-NCL,9263,2101,128
OBC-NCL,9664,2201,127
OBC-NCL,10017,2301,125
OBC-NCL,10376,2401,124
OBC-NCL,10805,2501,122
OBC-NCL,11164,2601,121
OBC-NCL,11542,2701,119
OBC-NCL,11896,2801,118
OBC-NCL,12232,2901,117
OBC-NCL,12594,3001,116
OBC-NCL,12958,3101,115
OBC-NCL,13313,3201,113
OBC-NCL,13640,3301,112
OBC-NCL,14002,3401,111
OBC-NCL,14399,3501,110
OBC-NCL,14701,3601,110
OBC-NCL,15055,3701,109
OBC-NCL,15424,3801,108
OBC-NCL,15759,3901,107
OBC-NCL,16118,4001,106
OBC-NCL,16488,4101,105
OBC-NCL,16787,4201,104
OBC-NCL,17153,4301,103
OBC-NCL,17506,4401,103
OBC-NCL,17804,4501,102
OBC-NCL,18181,4601,101
OBC-NCL,18530,4701,100
OBC-NCL,18850,4801,99
OBC-NCL,19231,4901,99
OBC-NCL,19576,5001,98
OBC-NCL,19896,5101,97
OBC-NCL,20256,5201,96
OBC-NCL,20585,5301,96
OBC-NCL,20901,5401,95
OBC-NCL,21226,5501,94
OBC-NCL,21567,5601,94
OBC-NCL,21937,5701,93
OBC-NCL,22267,5801,92
OBC-NCL,22659,5901,92
OBC-NCL,22996,6001,91
OBC-NCL,23331,6101,91
OBC-NCL,23635,6201,90
OBC-NCL,23947,6301,89
OBC-NCL,24286,6401,89
OBC-NCL,24583,6501,88
OBC-NCL,24929,6601,88
OBC-NCL,25251,6701,87
OBC-NCL,25580,6801,87
OBC-NCL,25909,6901,86
OBC-NCL,26232,7001,86
OBC-NCL,26565,7101,85
OBC-NCL,26899,7201,85
OBC-NCL,27232,7301,84
OBC-NCL,27566,7401,84
OBC-NCL,27899,7501,83
OBC-NCL,28233,7601,83
OBC-NCL,28566,7701,82
OBC-NCL,28900,7801,82
OBC-NCL,29233,7901,81
OBC-NCL,29567,8001,81
OBC-NCL,29900,8101,81
OBC-NCL,30234,8201,80
OBC-NCL,30567,8301,80
OBC-NCL,30901,8401,79
OBC-NCL,31234,8501,79
OBC-NCL,31568,8601,78
OBC-NCL,31901,8701,78
OBC-NCL,32235,8801,78
OBC-NCL,32568,8901,77
OBC-NCL,32901,9001,77
OBC-NCL,33065,9050,77
OPEN,1,1,341
OPEN,101,101,284
OPEN,201,201,269
OPEN,301,301,257
OPEN,401,401,248
OPEN,501,501,242
OPEN,601,601,237
OPEN,701,701,232
OPEN,801,801,227
OPEN,901,901,222
OPEN,1001,1001,219
OPEN,1101,1101,215
OPEN,1201,1201,212
OPEN,1301,1301,209
OPEN,1401,1401,206
OPEN,1501,1501,203
OPEN,1601,1601,200
OPEN,1701,1701,197
OPEN,1801,1801,195
OPEN,1901,1901,193
OPEN,2001,2001,191
OPEN,2101,2101,189
OPEN,2201,2201,187
OPEN,2301,2301,185
OPEN,2401,2401,183
OPEN,2501,2501,181
OPEN,2601,2601,180
OPEN,2701,2701,178
OPEN,2801,2801,177
OPEN,2901,2901,175
OPEN,3001,3001,174
OPEN,3101,3101,173
OPEN,3201,3201,171
OPEN,3301,3301,170
OPEN,3401,3401,169
OPEN,3501,3501,167
OPEN,3601,3601,166
OPEN,3701,3701,165
