Program_Code,Program_Name,Major,Degree
5243,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical and Materials Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4126,"Metallurgical Engineering (4 Years, Bachelor of Technology)",Metallurgical Engineering,"(4 Years, Bachelor of Technology)"
5240,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4128,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical Engineering and Materials Science,"(4 Years, Bachelor of Technology)"
4189,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",Mineral and Metallurgical Engineering,"(4 Years, Bachelor of Technology)"
4130,"Mining Engineering (4 Years, Bachelor of Technology)",Mining Engineering,"(4 Years, Bachelor of Technology)"
5247,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mining Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4131,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",Mining Machinery Engineering,"(4 Years, Bachelor of Technology)"
5248,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mining Safety Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4132,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",Naval Architecture and Ocean Engineering,"(4 Years, Bachelor of Technology)"
4133,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Ocean Engineering and Naval Architecture,"(4 Years, Bachelor of Technology)"
5251,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",Ocean Engineering and Naval Architecture,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4134,"Petroleum Engineering (4 Years, Bachelor of Technology)",Petroleum Engineering,"(4 Years, Bachelor of Technology)"
4173,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",Pharmaceutical Engineering & Technology,"(4 Years, Bachelor of Technology)"
5291,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",Pharmaceutical Engineering & Technology,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4204,"Physics (4 Years, Bachelor of Science)",Physics,"(4 Years, Bachelor of Science)"
5602,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Physics,"(5 Years, Bachelor of Science and Master of Science (Dual Degree))"
4211,"Physics with Specialization (4 Years, Bachelor of Science)",Physics with Specialization,"(4 Years, Bachelor of Science)"
4136,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Production and Industrial Engineering,"(4 Years, Bachelor of Technology)"
411L,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",Space Sciences and Engineering,"(4 Years, Bachelor of Technology)"
4207,"Statistics and Data Science (4 Years, Bachelor of Science)",Statistics and Data Science,"(4 Years, Bachelor of Science)"
4139,"Textile Technology (4 Years, Bachelor of Technology)",Textile Technology,"(4 Years, Bachelor of Technology)"
