Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
103,"Mechanical Engineering (4 Years, Bachelor of Technology)",8210,10866,15704,17738,3391,4483,7738,8136,2199,2468,2971,3986,1263,1304,343,343,33,85
103,"Engineering Physics (4 Years, Bachelor of Technology)",8119,11456,18074,19024,4287,5335,8911,8911,2574,2776,3595,3595,1308,1450,134,134,30.5,68
103,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",9919,12528,18993,19125,4531,5701,9150,9150,3076,3348,3678,3678,1427,1576,373,373,29.9,89
103,"Civil Engineering (4 Years, Bachelor of Technology)",11140,14246,19948,22293,4661,5377,8848,8948,2772,3041,4427,4427,1179,1326,1843,1843,26.5,94
103,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",12763,15924,21739,22290,5608,6046,8611,8711,2931,3196,4797,4797,1492,1675,1606,1606,24.9,73
103,"Bio Engineering (4 Years, Bachelor of Technology)",12820,16461,18672,21403,6124,6557,8866,8966,3428,3684,4528,4528,1819,1928,1861,1861,29.1,97
103,"BS in Chemical Sciences (4 Years, Bachelor of Science)",12673,17299,23616,24913,6213,6384,8521,8621,3394,3445,4663,4663,1458,1553,1516,1516,31.7,95
104,"Computer Science and Engineering (4 Years, Bachelor of Technology)",71,162,135,463,104,149,296,362,54,93,168,173,62,68,133,160,24.8,66
104,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",230,273,709,812,202,254,489,646,163,193,426,426,113,142,298,298,24.3,71
104,"Mathematics and Computing (4 Years, Bachelor of Technology)",300,484,564,947,282,380,578,994,183,284,650,833,179,212,355,355,25.2,68
104,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",722,721,1294,1490,543,617,1177,1295,455,498,669,669,394,401,534,534,21.2,61
104,"Electrical Engineering (4 Years, Bachelor of Technology)",674,838,1135,1949,463,712,743,1361,338,476,736,918,275,330,443,474,26.5,88
104,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",794,992,2058,2377,648,742,1341,1768,414,563,948,977,307,336,520,520,26.1,62
104,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",897,1299,2521,2796,676,856,1657,1957,497,684,885,885,270,324,517,517,26.2,74
104,"Mechanical Engineering (4 Years, Bachelor of Technology)",1212,2003,3026,4289,867,1246,2784,3204,259,770,1096,1628,389,507,890,890,25.2,69
104,"Chemical Engineering (4 Years, Bachelor of Technology)",2189,2637,4002,5714,1328,1718,3270,3546,841,1120,1430,1546,656,766,921,921,21,80
104,"Engineering Physics (4 Years, Bachelor of Technology)",407,2971,5004,6737,1296,2253,3904,5426,911,1428,2604,2727,1071,1126,1480,1480,24.9,81
104,"Energy Engineering (4 Years, Bachelor of Technology)",2292,3086,5500,6184,1262,2249,4195,5628,1153,1541,2817,2817,756,896,1754,1754,31.7,63
104,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",2392,3521,5782,7477,1308,2693,4809,5759,1199,1708,2325,3017,914,1215,1449,1449,32.1,86
104,"Materials Engineering (4 Years, Bachelor of Technology)",3431,4283,8308,10258,2271,2867,5837,5925,1646,1730,2037,2037,1038,1069,1615,1615,23.8,98
104,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2915,4510,6766,7550,1618,2134,4341,4447,848,1206,2209,2500,586,853,956,956,32.3,86
104,"Civil Engineering (4 Years, Bachelor of Technology)",3162,4708,7850,9527,1147,2340,2441,4950,695,1083,1550,1759,296,450,415,1104,24.3,71
104,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",3711,5779,7322,10527,1247,3073,3949,5815,1203,1716,2019,2781,817,943,1534,1534,34.5,98
104,"Textile Technology (4 Years, Bachelor of Technology)",4734,6854,10568,12071,2977,3625,5906,6562,1789,2224,3009,3332,1004,1250,1773,1773,22,87
105,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1059,1501,2086,2884,412,564,1078,1303,314,455,539,664,219,250,291,291,30.5,85
105,"Mathematics and Computing (4 Years, Bachelor of Technology)",2199,2521,3847,4183,1088,1631,1514,1935,896,1220,1972,1972,670,706,976,976,23.7,82
105,"Electrical Engineering (4 Years, Bachelor of Technology)",2297,3696,5818,7591,1408,1884,2368,3679,534,1231,1826,2349,481,580,1128,1128,29.2,60
105,"Mechanical Engineering (4 Years, Bachelor of Technology)",5155,7614,9343,14808,2687,3357,5322,5657,1439,1872,2700,3297,698,868,1344,1344,26.3,63
105,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",6498,8181,13640,14502,2849,3852,6552,6552,2112,2135,2622,2622,1368,1368,1583,1583,34.1,99
105,"Engineering Physics (4 Years, Bachelor of Technology)",6044,8373,11899,13762,3557,4364,8202,8202,2124,2401,4181,4181,1409,1409,1410,1410,33.2,79
105,"Chemical Engineering (4 Years, Bachelor of Technology)",7993,10010,15229,15425,3585,4597,6184,6293,2310,2503,3180,3180,1240,1317,1842,1842,28.8,73
105,"Civil Engineering (4 Years, Bachelor of Technology)",9519,11018,15018,18017,2872,4228,6629,7024,1826,2170,2881,2988,693,708,1386,1386,32.3,82
105,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",10767,12377,16520,18262,4315,4844,7111,8119,2466,2868,4288,4363,1281,1408,449,449,32.2,72
106,"Computer Science and Engineering (4 Years, Bachelor of Technology)",374,447,691,870,279,328,503,552,223,260,197,338,184,200,300,300,21.1,92
106,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",601,888,1459,1602,456,601,1011,1153,379,431,707,730,301,331,724,724,23.1,78
106,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",802,1397,2378,2941,529,740,1174,1333,295,518,868,868,277,327,374,374,29,83
106,"Mathematics and Computing (4 Years, Bachelor of Science)",1145,1600,2379,3907,545,930,1749,1987,562,686,1423,1648,332,588,587,587,29.7,69
106,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1346,1659,3432,5157,801,1107,1200,1611,317,556,965,1593,266,323,603,603,26.2,85
106,"Electrical Engineering (4 Years, Bachelor of Technology)",1829,2193,3798,5225,997,1255,1503,2059,710,861,1085,1275,538,601,722,722,30.7,67
106,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",2008,2356,2445,5424,1207,1279,2233,2233,673,833,1537,1537,492,493,497,497,22.7,90
106,"Instrumentation Engineering (4 Years, Bachelor of Technology)",2400,2615,5874,6375,1293,1634,2550,2616,971,1218,2041,2041,778,815,1515,1515,26.7,66
106,"Mechanical Engineering (4 Years, Bachelor of Technology)",2907,3494,6676,7531,1345,1859,3047,4366,536,1155,1424,1964,619,697,915,915,25.9,91
106,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",2867,3942,7765,9182,1661,1983,2364,4226,779,1527,2588,2588,557,763,1246,1246,22.7,79
106,"Aerospace Engineering (4 Years, Bachelor of Technology)",3402,4777,8500,9124,1857,2301,3836,4261,962,1392,2130,2130,510,752,608,608,32.7,81
106,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",3913,5199,9962,12292,2271,2971,4783,6447,1433,1767,2426,2805,876,1014,995,995,26.9,95
106,"Chemical Engineering (4 Years, Bachelor of Technology)",3207,5136,6982,9815,2097,2593,4472,4769,1214,1673,787,2245,623,914,838,838,29.5,63
106,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4687,5300,11192,12623,2684,2875,5546,5546,1515,1738,2530,2530,552,552,781,781,32.9,84
106,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",4240,5527,9672,13467,2185,2481,3912,3912,1918,2120,3139,3139,1006,1074,776,776,30,89
106,"Economics (4 Years, Bachelor of Science)",4587,6183,11417,12935,2174,3412,5105,5897,1705,2295,3996,3996,1343,1425,1796,1796,25.2,66
106,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",5054,6533,12114,13154,2869,3411,6346,6437,1793,2110,3136,3136,1042,1268,1651,1651,30.6,72
106,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",5608,6701,10920,11779,2899,3320,5091,5925,1632,1904,2223,2223,970,990,1678,1678,27.7,84
106,"Civil Engineering (4 Years, Bachelor of Technology)",5434,7337,11407,13892,2151,3167,5284,5667,984,1686,1101,2455,605,687,846,846,28,61
106,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",6354,7589,10262,13114,2938,3676,6190,6725,1550,2231,3050,3114,1133,1273,1520,1520,21.4,80
106,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",5932,8472,13747,15758,3606,3921,7000,7000,2352,2435,4233,4233,1415,1415,1579,1579,24.9,96
106,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",6378,8513,12298,13493,3365,3877,3654,3654,1942,2449,3339,3339,1192,1231,1418,1418,23.9,91
106,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",7290,8801,14888,15863,3053,3307,7276,7558,1584,1891,3362,3362,623,677,1345,1345,21.9,63
