Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
101,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1652,3183,3505,5288,746,1216,1915,2373,390,733,1117,1138,241,350,548,548,26.5,66
101,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3488,3602,8016,8016,1282,1418,2897,2897,881,881,1188,1209,346,346,735,735,31.5,71
101,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",3190,5258,7249,8787,1475,2069,2473,3022,794,1288,1487,1548,441,509,1089,1089,20.4,70
101,"Electrical Engineering (4 Years, Bachelor of Technology)",5193,7714,10066,12898,2114,2692,3404,4912,1242,1765,2431,2431,511,599,1022,1022,21.3,75
101,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",7621,8040,15698,15698,3029,3152,5928,5928,2115,2115,2588,2588,905,905,1179,1179,25.9,72
101,"Mechanical Engineering (4 Years, Bachelor of Technology)",7916,10874,14962,17955,3112,3895,5611,7123,2019,2342,2293,2328,871,882,1564,1564,22.9,73
101,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",10648,11535,18933,18933,3970,4411,8721,8721,2187,2480,2420,2455,1089,1433,1691,1691,25.3,76
101,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11817,12621,19072,19072,4569,4606,8700,8700,2558,2558,3509,3509,1396,1396,1670,1670,33.2,75
101,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11669,13240,20250,20250,4305,4422,8061,8061,2570,2570,4447,4447,1431,1431,1697,1697,32,81
101,"Civil Engineering (4 Years, Bachelor of Technology)",12703,15125,19117,21357,4454,5402,6033,7320,2069,2927,4113,4113,926,986,1477,1477,25.5,92
101,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",14834,15384,21582,21582,5361,5673,8405,8405,2754,2756,4014,4014,1243,1243,1524,1524,22.8,97
101,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",12567,15882,21497,22467,4831,5757,8504,8504,2950,3135,4039,4039,1330,1330,1619,1619,23.1,60
101,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15589,16285,22171,22171,5763,6153,8595,8595,2911,2911,3746,3746,1316,1316,1710,1710,22.3,76
101,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15757,16311,23517,23517,5861,5862,7230,7230,2964,3207,3657,3657,1452,1452,155,155,22.7,98
101,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",13533,16508,23217,23217,5018,6074,7317,7317,2264,2264,4738,4738,1147,1147,242,242,20.7,92
102,"Computer Science and Engineering (4 Years, Bachelor of Technology)",274,249,238,473,192,240,241,409,184,209,213,295,183,192,222,269,23.8,72
102,"Electrical Engineering (4 Years, Bachelor of Technology)",427,671,763,1476,273,578,522,1120,291,385,744,816,224,280,454,454,29.6,90
102,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",689,1065,2334,3091,490,767,1022,1608,280,477,697,1041,183,292,407,407,23.8,95
102,"BS in Mathematics (4 Years, Bachelor of Science)",1140,1758,2756,3227,1155,1833,2877,2877,299,624,2303,2303,633,633,396,396,21,93
102,"Mechanical Engineering (4 Years, Bachelor of Technology)",601,1808,1864,4245,376,1044,1299,2529,293,568,708,1298,158,333,416,585,31.2,72
102,"Engineering Physics (4 Years, Bachelor of Technology)",594,1931,4685,5336,985,1728,2981,3410,711,1079,2264,2511,716,966,1360,1360,22.4,66
102,"Economics (4 Years, Bachelor of Science)",1382,2110,2723,5971,725,1338,1351,1351,267,819,1662,1662,445,981,488,488,32,98
