CAT,EQ_CRL,CAT_CRL,MARKS
OBC-NCL,16,5,310
OBC-NCL,657,114,224
OBC-NCL,1170,212,203
OBC-NCL,1780,306,186
OBC-NCL,2367,413,174
OBC-NCL,2855,510,166
OBC-NCL,3340,615,160
OBC-NCL,3783,711,154
OBC-NCL,4247,812,150
OBC-NCL,4703,906,145
OBC-NCL,5122,1008,142
OBC-NCL,5627,1113,138
OBC-NCL,5954,1202,136
OBC-NCL,6339,1317,134
OBC-NCL,6669,1405,131
OBC-NCL,7075,1508,129
OBC-NCL,7421,1606,127
OBC-NCL,7746,1709,126
OBC-NCL,8129,1810,124
OBC-NCL,8520,1913,122
OBC-NCL,8874,2003,120
OBC-NCL,9275,2113,118
OBC-NCL,9673,2210,117
OBC-NCL,10029,2313,115
OBC-NCL,10380,2405,114
OBC-NCL,10807,2503,112
OBC-NCL,11167,2604,111
OBC-NCL,11551,2710,109
OBC-NCL,11911,2816,108
OBC-NCL,12242,2911,107
OBC-NCL,12610,3017,106
OBC-NCL,12966,3109,105
OBC-NCL,13316,3204,103
OBC-NCL,13656,3317,102
OBC-NCL,14020,3419,101
OBC-NCL,14408,3510,100
OBC-NCL,14711,3611,100
OBC-NCL,15070,3716,99
OBC-NCL,15430,3807,98
OBC-NCL,15765,3907,97
OBC-NCL,16130,4013,96
OBC-NCL,16492,4105,95
OBC-NCL,16790,4204,94
OBC-NCL,17165,4313,93
OBC-NCL,17513,4408,93
OBC-NCL,17815,4512,92
OBC-NCL,18190,4610,91
OBC-NCL,18535,4706,90
OBC-NCL,18858,4809,89
OBC-NCL,19239,4909,89
OBC-NCL,19586,5011,88
OBC-NCL,19906,5111,87
OBC-NCL,20259,5204,86
OBC-NCL,20592,5308,86
OBC-NCL,20914,5414,85
OBC-NCL,21238,5513,84
OBC-NCL,21572,5606,84
OBC-NCL,21938,5702,83
OBC-NCL,22282,5816,82
OBC-NCL,22668,5910,82
OBC-NCL,23007,6012,81
OBC-NCL,23341,6111,81
OBC-NCL,23639,6205,80
OBC-NCL,23956,6310,79
OBC-NCL,24300,6415,79
OBC-NCL,24594,6512,78
OBC-NCL,24935,6607,78
OBC-NCL,25262,6712,77
OBC-NCL,25587,6808,77
OBC-NCL,25924,6916,76
OBC-NCL,26242,7011,76
OBC-NCL,26575,7111,75
OBC-NCL,26901,7203,75
OBC-NCL,27246,7315,74
OBC-NCL,27570,7405,74
OBC-NCL,27906,7508,73
OBC-NCL,28243,7611,73
OBC-NCL,28571,7706,72
OBC-NCL,28906,7807,72
OBC-NCL,29241,7909,71
OBC-NCL,29583,8017,71
OBC-NCL,29911,8112,71
OBC-NCL,30244,8211,70
OBC-NCL,30579,8313,70
OBC-NCL,30915,8415,69
OBC-NCL,31238,8505,69
OBC-NCL,31577,8610,68
OBC-NCL,31908,8708,68
OBC-NCL,32240,8806,68
OBC-NCL,32585,8918,67
OBC-NCL,32907,9007,67
OBC-NCL,33074,9059,67
OPEN,13,13,331
OPEN,112,112,274
OPEN,217,217,259
OPEN,311,311,247
OPEN,415,415,238
OPEN,509,509,232
OPEN,614,614,227
OPEN,711,711,222
OPEN,809,809,217
OPEN,906,906,212
OPEN,1014,1014,209
OPEN,1117,1117,205
OPEN,1212,1212,202
OPEN,1302,1302,199
OPEN,1415,1415,196
OPEN,1509,1509,193
OPEN,1611,1611,190
OPEN,1709,1709,187
OPEN,1804,1804,185
OPEN,1912,1912,183
OPEN,2006,2006,181
OPEN,2103,2103,179
OPEN,2207,2207,177
OPEN,2311,2311,175
OPEN,2413,2413,173
OPEN,2513,2513,171
OPEN,2612,2612,170
OPEN,2712,2712,168
OPEN,2807,2807,167
OPEN,2910,2910,165
OPEN,3003,3003,164
OPEN,3114,3114,163
OPEN,3213,3213,161
OPEN,3309,3309,160
OPEN,3407,3407,159
OPEN,3510,3510,157
OPEN,3611,3611,156
OPEN,3710,3710,155
OPEN,3808,3808,154
OPEN,3907,3907,153
OPEN,4009,4009,152
OPEN,4108,4108,151
OPEN,4213,4213,150
OPEN,4306,4306,149
OPEN,4414,4414,148
OPEN,4505,4505,147
OPEN,4617,4617,146
OPEN,4712,4712,145
OPEN,4816,4816,145
OPEN,4909,4909,144
OPEN,5006,5006,143
OPEN,5113,5113,142
OPEN,5209,5209,141
OPEN,5319,5319,141
OPEN,5410,5410,140
OPEN,5517,5517,139
OPEN,5610,5610,138
OPEN,5714,5714,138
OPEN,5803,5803,137
OPEN,5916,5916,136
OPEN,6013,6013,136
OPEN,6104,6104,135
OPEN,6212,6212,134
OPEN,6314,6314,134
OPEN,6407,6407,133
OPEN,6503,6503,132
OPEN,6604,6604,132
OPEN,6711,6711,131
OPEN,6810,6810,131
OPEN,6918,6918,130
OPEN,7009,7009,130
OPEN,7116,7116,129
OPEN,7210,7210,128
OPEN,7304,7304,128
OPEN,7409,7409,127
OPEN,7502,7502,127
OPEN,7607,7607,126
OPEN,7705,7705,126
OPEN,7806,7806,125
OPEN,7911,7911,125
OPEN,8012,8012,124
OPEN,8107,8107,124
OPEN,8210,8210,123
OPEN,8303,8303,123
OPEN,8416,8416,122
OPEN,8515,8515,122
OPEN,8618,8618,121
OPEN,8711,8711,121
OPEN,8804,8804,120
OPEN,8906,8906,120
OPEN,9011,9011,120
OPEN,9118,9118,119
OPEN,9214,9214,119
OPEN,9316,9316,118
OPEN,9405,9405,118
OPEN,9510,9510,117
OPEN,9616,9616,117
OPEN,9713,9713,117
OPEN,9818,9818,116
OPEN,9911,9911,116
OPEN,10014,10014,115
OPEN,10107,10107,115
OPEN,10216,10216,114
OPEN,10310,10310,114
OPEN,10404,10404,114
OPEN,10509,10509,113
OPEN,10612,10612,113
OPEN,10714,10714,112
OPEN,10816,10816,112
OPEN,10911,10911,112
OPEN,11009,11009,111
OPEN,11105,11105,111
OPEN,11204,11204,111
OPEN,11318,11318,110
OPEN,11416,11416,110
OPEN,11507,11507,109
OPEN,11613,11613,109
OPEN,11712,11712,109
OPEN,11813,11813,108
OPEN,11917,11917,108
OPEN,12014,12014,108
OPEN,12117,12117,107
OPEN,12217,12217,107
OPEN,12309,12309,107
OPEN,12410,12410,106
OPEN,12509,12509,106
OPEN,12604,12604,106
OPEN,12707,12707,105
OPEN,12804,12804,105
OPEN,12917,12917,105
OPEN,13007,13007,104
OPEN,13109,13109,104
OPEN,13213,13213,104
OPEN,13301,13301,104
OPEN,13414,13414,103
OPEN,13518,13518,103
OPEN,13605,13605,103
OPEN,13713,13713,102
OPEN,13818,13818,102
OPEN,13904,13904,102
OPEN,14012,14012,101
OPEN,14113,14113,101
OPEN,14217,14217,101
OPEN,14315,14315,101
OPEN,14408,14408,100
OPEN,14507,14507,100
OPEN,14617,14617,100
OPEN,14704,14704,100
OPEN,14811,14811,99
OPEN,14918,14918,99
OPEN,15010,15010,99
OPEN,15111,15111,98
OPEN,15215,15215,98
OPEN,15310,15310,98
OPEN,15406,15406,98
OPEN,15511,15511,97
OPEN,15608,15608,97
OPEN,15702,15702,97
OPEN,15808,15808,97
OPEN,15906,15906,96
OPEN,16004,16004,96
OPEN,16106,16106,96
OPEN,16217,16217,96
OPEN,16312,16312,95
OPEN,16403,16403,95
OPEN,16513,16513,95
OPEN,16610,16610,95
OPEN,16710,16710,94
OPEN,16812,16812,94
OPEN,16908,16908,94
OPEN,17013,17013,94
OPEN,17113,17113,94
OPEN,17204,17204,93
OPEN,17317,17317,93
OPEN,17407,17407,93
OPEN,17509,17509,93
OPEN,17604,17604,92
OPEN,17714,17714,92
OPEN,17808,17808,92
OPEN,17913,17913,92
OPEN,18005,18005,92
OPEN,18119,18119,91
OPEN,18215,18215,91
OPEN,18303,18303,91
OPEN,18409,18409,91
OPEN,18502,18502,90
OPEN,18607,18607,90
OPEN,18711,18711,90
OPEN,18803,18803,90
OPEN,18909,18909,90
OPEN,19005,19005,89
OPEN,19114,19114,89
OPEN,19206,19206,89
OPEN,19307,19307,89
OPEN,19412,19412,89
OPEN,19507,19507,88
OPEN,19612,19612,88
OPEN,19712,19712,88
OPEN,19818,19818,88
OPEN,19910,19910,87
OPEN,20011,20011,87
OPEN,20116,20116,87
OPEN,20203,20203,87
OPEN,20308,20308,86
OPEN,20416,20416,86
OPEN,20511,20511,86
OPEN,20606,20606,86
OPEN,20710,20710,85
OPEN,20807,20807,85
OPEN,20914,20914,85
OPEN,21015,21015,85
OPEN,21105,21105,85
OPEN,21212,21212,84
OPEN,21313,21313,84
OPEN,21410,21410,84
OPEN,21516,21516,84
OPEN,21611,21611,84
OPEN,21711,21711,83
OPEN,21813,21813,83
OPEN,21903,21903,83
OPEN,22017,22017,83
OPEN,22106,22106,83
OPEN,22219,22219,82
OPEN,22313,22313,82
OPEN,22416,22416,82
OPEN,22507,22507,82
OPEN,22610,22610,82
OPEN,22717,22717,82
OPEN,22816,22816,81
OPEN,22909,22909,81
OPEN,23010,23010,81
OPEN,23112,23112,81
OPEN,23205,23205,81
OPEN,23311,23311,80
OPEN,23417,23417,80
OPEN,23516,23516,80
OPEN,23608,23608,80
OPEN,23710,23710,80
OPEN,23818,23818,80
OPEN,23904,23904,80
OPEN,24006,24006,79
OPEN,24112,24112,79
OPEN,24210,24210,79
OPEN,24310,24310,79
OPEN,24414,24414,79
OPEN,24502,24502,79
OPEN,24611,24611,78
OPEN,24712,24712,78
OPEN,24804,24804,78
OPEN,24910,24910,78
OPEN,25008,25008,78
OPEN,25113,25113,78
OPEN,25209,25209,77
OPEN,25310,25310,77
OPEN,25403,25403,77
OPEN,25510,25510,77
OPEN,25606,25606,77
OPEN,25709,25709,76
OPEN,25804,25804,76
OPEN,25909,25909,76
OPEN,26012,26012,76
OPEN,26108,26108,76
OPEN,26204,26204,76
OPEN,26314,26314,76
OPEN,26327,26327,76
SC,26,5,300
SC,4542,118,147
SC,7936,205,125
SC,10682,314,113
SC,13440,401,103
SC,15529,508,97
SC,17659,607,92
SC,19754,714,88
SC,21744,811,83
SC,23638,912,80
SC,25537,1016,77
SC,27421,1106,74
SC,29319,1210,71
SC,31212,1309,69
SC,33102,1405,67
SC,35006,1515,65
SC,36904,1619,64
SC,38789,1710,62
SC,40683,1810,61
SC,42572,1905,59
SC,44469,2008,58
SC,46364,2109,56
SC,48260,2211,55
SC,50160,2317,54
SC,52047,2410,52
SC,53943,2512,51
SC,55832,2607,50
SC,57723,2704,49
SC,59626,2813,48
SC,61519,2912,47
SC,63409,3008,46
SC,65301,3106,45
SC,67198,3209,44
SC,69094,3311,43
SC,70991,3414,43
SC,72878,3507,42
SC,74777,3612,41
SC,76665,3706,41
SC,78560,3807,40
SC,80459,3912,39
SC,82350,4009,39
SC,84246,4111,38
SC,86145,4216,37
SC,88035,4312,37
SC,89927,4410,36
SC,91817,4506,35
SC,93722,4617,35
SC,95610,4711,34
SC,97507,4814,34
SC,99396,4909,33
SC,101290,5009,33
SC,101364,5010,33
ST,255,16,255
ST,11659,106,109
ST,20093,213,87
ST,28518,311,75
ST,36948,414,68
ST,45365,504,62
ST,53797,609,57
ST,62226,711,53
ST,70651,809,50
ST,79079,910,47
ST,87507,1011,45
ST,95927,1104,42
ST,104359,1209,40
ST,112791,1314,39
ST,121215,1411,37
ST,129646,1515,35
ST,138060,1602,33
ST,141772,1650,33
