CAT,EQ_CRL,CAT_CRL,MARKS
OBC-NCL,53,43,312
OBC-NCL,711,175,226
OBC-NCL,1193,239,205
OBC-NCL,1775,301,188
OBC-NCL,2424,479,176
OBC-NCL,2870,529,168
OBC-NCL,3404,687,162
OBC-NCL,3831,767,156
OBC-NCL,4298,865,152
OBC-NCL,4762,969,147
OBC-NCL,5120,1011,144
OBC-NCL,5660,1151,140
OBC-NCL,6034,1283,138
OBC-NCL,6350,1335,136
OBC-NCL,6726,1463,133
OBC-NCL,7159,1593,131
OBC-NCL,7511,1701,129
OBC-NCL,7780,1745,128
OBC-NCL,8147,1835,126
OBC-NCL,8544,1943,124
OBC-NCL,8963,2093,122
OBC-NCL,9267,2109,120
OBC-NCL,9666,2205,119
OBC-NCL,10070,2357,117
OBC-NCL,10468,2495,116
OBC-NCL,10887,2585,114
OBC-NCL,11185,2623,113
OBC-NCL,11558,2723,111
OBC-NCL,11914,2827,110
OBC-NCL,12327,3001,109
OBC-NCL,12641,3055,108
OBC-NCL,12984,3133,107
OBC-NCL,13384,3273,105
OBC-NCL,13678,3347,104
OBC-NCL,14071,3479,103
OBC-NCL,14411,3515,102
OBC-NCL,14768,3675,102
OBC-NCL,15154,3809,101
OBC-NCL,15459,3841,100
OBC-NCL,15853,3999,99
OBC-NCL,16121,4007,98
OBC-NCL,16499,4113,97
OBC-NCL,16809,4225,96
OBC-NCL,17186,4337,95
OBC-NCL,17579,4477,95
OBC-NCL,17868,4569,94
OBC-NCL,18222,4643,93
OBC-NCL,18541,4713,92
OBC-NCL,18903,4857,91
OBC-NCL,19299,4977,91
OBC-NCL,19623,5055,90
OBC-NCL,19940,5149,89
OBC-NCL,20318,5265,88
OBC-NCL,20642,5365,88
OBC-NCL,20938,5445,87
OBC-NCL,21285,5569,86
OBC-NCL,21590,5627,86
OBC-NCL,21978,5743,85
OBC-NCL,22296,5839,84
OBC-NCL,22737,5987,84
OBC-NCL,23012,6023,83
OBC-NCL,23366,6141,83
OBC-NCL,23725,6291,82
OBC-NCL,23989,6345,81
OBC-NCL,24374,6497,81
OBC-NCL,24589,6513,80
OBC-NCL,24969,6641,80
OBC-NCL,25293,6745,79
OBC-NCL,25644,6869,79
OBC-NCL,25957,6957,78
OBC-NCL,26278,7053,78
OBC-NCL,26570,7111,77
OBC-NCL,26989,7291,77
OBC-NCL,27261,7339,76
OBC-NCL,27636,7471,76
OBC-NCL,27949,7551,75
OBC-NCL,28239,7613,75
OBC-NCL,28567,7703,74
OBC-NCL,28993,7897,74
OBC-NCL,29281,7957,73
OBC-NCL,29596,8039,73
OBC-NCL,29923,8127,73
OBC-NCL,30318,8289,72
OBC-NCL,30621,8359,72
OBC-NCL,30957,8463,71
OBC-NCL,31274,8541,71
OBC-NCL,31634,8673,70
OBC-NCL,31977,8783,70
OBC-NCL,32266,8833,70
OBC-NCL,32576,8917,69
OBC-NCL,32945,9049,69
OBC-NCL,33104,9098,69
OPEN,27,33,333
OPEN,124,127,276
OPEN,238,245,261
OPEN,339,347,249
OPEN,419,427,240
OPEN,583,585,234
OPEN,630,639,229
OPEN,742,743,224
OPEN,834,837,219
OPEN,916,921,214
OPEN,1040,1049,211
OPEN,1159,1167,207
OPEN,1205,1209,204
OPEN,1331,1331,201
OPEN,1478,1485,198
OPEN,1507,1513,195
OPEN,1674,1677,192
OPEN,1787,1793,189
OPEN,1822,1823,187
OPEN,1946,1951,185
OPEN,2025,2029,183
OPEN,2173,2175,181
OPEN,2271,2271,179
OPEN,2330,2339,177
OPEN,2478,2485,175
OPEN,2574,2577,173
OPEN,2698,2705,172
OPEN,2713,2715,170
OPEN,2887,2893,169
OPEN,2991,2991,167
OPEN,3062,3063,166
OPEN,3137,3143,165
OPEN,3256,3261,163
OPEN,3368,3375,162
OPEN,3456,3461,161
OPEN,3575,3579,159
OPEN,3632,3633,158
OPEN,3753,3755,157
OPEN,3851,3851,156
OPEN,3951,3951,155
OPEN,4042,4043,154
OPEN,4125,4129,153
OPEN,4267,4273,152
OPEN,4331,4331,151
OPEN,4408,4415,150
OPEN,4592,4593,149
OPEN,4608,4615,148
OPEN,4738,4745,147
OPEN,4858,4865,147
OPEN,4988,4995,146
OPEN,5054,5057,145
OPEN,5184,5187,144
OPEN,5246,5251,143
OPEN,5310,5319,143
OPEN,5410,5419,142
OPEN,5559,5567,141
OPEN,5622,5623,140
OPEN,5789,5797,140
OPEN,5823,5825,139
OPEN,5947,5953,138
OPEN,6007,6013,138
OPEN,6131,6131,137
OPEN,6214,6217,136
OPEN,6369,6377,136
OPEN,6401,6401,135
OPEN,6592,6593,134
OPEN,6663,6665,134
OPEN,6756,6761,133
OPEN,6811,6811,133
OPEN,6960,6969,132
OPEN,7025,7029,132
OPEN,7138,7145,131
OPEN,7249,7257,130
OPEN,7384,7387,130
OPEN,7496,7501,129
OPEN,7542,7543,129
OPEN,7603,7605,128
OPEN,7751,7751,128
OPEN,7892,7893,127
OPEN,7937,7943,127
OPEN,8075,8079,126
OPEN,8121,8121,126
OPEN,8297,8303,125
OPEN,8322,8323,125
OPEN,8449,8457,124
OPEN,8600,8609,124
OPEN,8669,8677,123
OPEN,8785,8789,123
OPEN,8882,8883,122
OPEN,8935,8939,122
OPEN,9054,9057,122
OPEN,9200,9209,121
OPEN,9219,9227,121
OPEN,9339,9347,120
OPEN,9401,9401,120
OPEN,9589,9597,119
OPEN,9628,9635,119
OPEN,9768,9775,119
OPEN,9829,9837,118
OPEN,9994,9997,118
OPEN,10049,10057,117
OPEN,10184,10187,117
OPEN,10208,10215,116
OPEN,10322,10323,116
OPEN,10411,10411,116
OPEN,10518,10525,115
OPEN,10614,10617,115
OPEN,10715,10719,114
OPEN,10810,10819,114
OPEN,10917,10923,114
OPEN,11036,11041,113
OPEN,11152,11153,113
OPEN,11201,11201,113
OPEN,11350,11359,112
OPEN,11420,11429,112
OPEN,11557,11563,111
OPEN,11699,11707,111
OPEN,11704,11707,111
OPEN,11825,11829,110
OPEN,11909,11917,110
OPEN,12045,12049,110
OPEN,12110,12119,109
OPEN,12290,12299,109
OPEN,12303,12305,109
OPEN,12496,12501,108
OPEN,12586,12591,108
OPEN,12694,12697,108
OPEN,12744,12747,107
OPEN,12824,12827,107
OPEN,12988,12995,107
OPEN,13015,13019,106
OPEN,13104,13107,106
OPEN,13249,13257,106
OPEN,13301,13301,106
OPEN,13459,13467,105
OPEN,13519,13527,105
OPEN,13681,13681,105
OPEN,13797,13803,104
OPEN,13899,13907,104
OPEN,13982,13983,104
OPEN,14090,14099,103
OPEN,14199,14207,103
OPEN,14210,14219,103
OPEN,14358,14365,103
OPEN,14473,14475,102
OPEN,14523,14525,102
OPEN,14639,14647,102
OPEN,14793,14795,102
OPEN,14839,14847,101
OPEN,14980,14989,101
OPEN,15091,15091,101
OPEN,15158,15165,100
OPEN,15259,15267,100
OPEN,15392,15393,100
OPEN,15416,15421,100
OPEN,15589,15597,99
OPEN,15657,15663,99
OPEN,15712,15713,99
OPEN,15803,15805,99
OPEN,15935,15939,98
OPEN,16073,16075,98
OPEN,16156,16161,98
OPEN,16229,16237,98
OPEN,16347,16353,97
OPEN,16463,16465,97
OPEN,16587,16593,97
OPEN,16676,16681,97
OPEN,16734,16737,96
OPEN,16870,16879,96
OPEN,16943,16945,96
OPEN,17045,17049,96
OPEN,17117,17123,96
OPEN,17282,17283,95
OPEN,17399,17407,95
OPEN,17423,17425,95
OPEN,17552,17553,95
OPEN,17622,17623,94
OPEN,17800,17809,94
OPEN,17858,17865,94
OPEN,17977,17983,94
OPEN,18093,18095,94
OPEN,18190,18199,93
OPEN,18276,18281,93
OPEN,18313,18315,93
OPEN,18401,18401,93
OPEN,18511,18511,92
OPEN,18604,18607,92
OPEN,18770,18779,92
OPEN,18862,18863,92
OPEN,18989,18997,92
OPEN,19002,19003,91
OPEN,19190,19199,91
OPEN,19256,19261,91
OPEN,19324,19327,91
OPEN,19403,19405,91
OPEN,19586,19591,90
OPEN,19683,19685,90
OPEN,19786,19791,90
OPEN,19889,19897,90
OPEN,19927,19933,89
OPEN,20018,20025,89
OPEN,20158,20165,89
OPEN,20233,20235,89
OPEN,20333,20335,88
OPEN,20470,20479,88
OPEN,20555,20559,88
OPEN,20622,20623,88
OPEN,20790,20799,87
OPEN,20877,20883,87
OPEN,20930,20939,87
OPEN,21069,21077,87
OPEN,21193,21195,87
OPEN,21226,21231,86
OPEN,21356,21361,86
OPEN,21435,21439,86
OPEN,21550,21559,86
OPEN,21642,21643,86
OPEN,21713,21715,85
OPEN,21846,21851,85
OPEN,21961,21961,85
OPEN,22019,22027,85
OPEN,22154,22157,85
OPEN,22240,22249,84
OPEN,22324,22327,84
OPEN,22480,22489,84
OPEN,22597,22603,84
OPEN,22688,22695,84
OPEN,22730,22739,84
OPEN,22850,22859,83
OPEN,22938,22945,83
