CAT,EQ_CRL,CAT_CRL,MARKS
OPEN,23067,23073,83
OPEN,23150,23159,83
OPEN,23294,23297,83
OPEN,23396,23401,82
OPEN,23498,23505,82
OPEN,23517,23523,82
OPEN,23687,23693,82
OPEN,23706,23711,82
OPEN,23889,23897,82
OPEN,23983,23985,82
OPEN,24056,24061,81
OPEN,24135,24139,81
OPEN,24215,24219,81
OPEN,24302,24303,81
OPEN,24417,24423,81
OPEN,24572,24573,81
OPEN,24687,24693,80
OPEN,24764,24767,80
OPEN,24814,24817,80
OPEN,24956,24961,80
OPEN,25086,25091,80
OPEN,25154,25157,80
OPEN,25213,25215,79
OPEN,25309,25317,79
OPEN,25433,25435,79
OPEN,25546,25551,79
OPEN,25614,25617,79
OPEN,25757,25763,78
OPEN,25822,25823,78
OPEN,25959,25967,78
OPEN,26047,26053,78
OPEN,26183,26185,78
OPEN,26282,26283,78
OPEN,26345,26349,78
OPEN,26417,26423,78
SC,44,25,302
SC,4554,139,149
SC,7993,263,127
SC,10704,341,115
SC,13490,451,105
SC,15595,577,99
SC,17719,673,94
SC,19785,749,90
SC,21793,869,85
SC,23719,995,82
SC,25561,1049,79
SC,27469,1157,76
SC,29334,1229,73
SC,31258,1359,71
SC,33108,1411,69
SC,35037,1551,67
SC,36935,1659,66
SC,38866,1793,64
SC,40687,1817,63
SC,42642,1979,61
SC,44484,2025,60
SC,46424,2177,58
SC,48268,2227,57
SC,50231,2395,56
SC,52043,2411,54
SC,53990,2567,53
SC,55917,2693,52
SC,57722,2705,51
SC,59639,2831,50
SC,61585,2985,49
SC,63416,3019,48
SC,65310,3119,47
SC,67214,3229,46
SC,69118,3339,45
SC,71052,3479,45
SC,72944,3575,44
SC,74825,3669,43
SC,76693,3737,43
SC,78624,3871,42
SC,80535,3995,41
SC,82439,4105,41
SC,84254,4127,40
SC,86207,4285,39
SC,88097,4377,39
SC,89988,4471,38
SC,91875,4567,37
SC,93774,4677,37
SC,95692,4795,36
SC,97579,4891,36
SC,99390,4905,35
SC,101362,5081,35
SC,101371,5020,35
ST,267,35,257
ST,11656,105,111
ST,20180,309,89
ST,28535,335,77
ST,36960,431,70
ST,45405,547,64
ST,53813,629,59
ST,62239,727,55
ST,70715,875,52
ST,79131,963,49
ST,87578,1083,47
ST,95927,1107,44
ST,104383,1235,42
ST,112783,1311,41
ST,121298,1497,39
ST,129657,1531,37
ST,138090,1633,35
ST,141859,1739,35
