Institute_Code,Program,Total_Pool,OPEN_Gender_Neutral,OPEN_Female_Only,OBC_NCL_Gender_Neutral,OBC_NCL_Female_Only,SC_Gender_Neutral,SC_Female_Only,ST_Gender_Neutral,ST_Female_Only
117,"Engineering Physics (4 Years, Bachelor of Technology)",59,21,6,14,3,8,2,4,1
117,"Mathematics and Computing (4 Years, Bachelor of Technology)",61,22,5,15,4,9,2,3,1
117,"Mechanical Engineering (4 Years, Bachelor of Technology)",101,36,9,25,6,13,3,7,2
118,"Computer Science and Engineering (4 Years, Bachelor of Technology)",49,17,4,12,3,7,2,3,1
118,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",36,12,3,9,3,4,2,3,0
118,"Electrical Engineering (4 Years, Bachelor of Technology)",46,17,4,11,3,6,1,3,1
118,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",16,6,2,3,1,3,0,1,0
118,"Mechanical Engineering (4 Years, Bachelor of Technology)",43,16,4,10,2,6,1,3,1
118,"Mechatronics Engineering (4 Years, Bachelor of Technology)",17,6,2,4,1,2,1,1,0
119,"Computer Science and Engineering (4 Years, Bachelor of Technology)",35,13,3,9,1,5,1,2,1
119,"Electrical Engineering (4 Years, Bachelor of Technology)",35,12,4,9,2,4,1,3,0
119,"Mathematics and Computing (4 Years, Bachelor of Technology)",26,8,4,6,2,4,0,2,0
119,"Mechanical Engineering (4 Years, Bachelor of Technology)",38,15,2,9,2,5,2,2,1
120,"Civil Engineering (4 Years, Bachelor of Technology)",34,12,2,9,2,5,1,2,1
120,"Computer Science and Engineering (4 Years, Bachelor of Technology)",34,14,2,8,2,4,1,2,1
120,"Data Science and Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
120,"Electrical Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
120,"Mechanical Engineering (4 Years, Bachelor of Technology)",35,12,3,9,2,5,1,2,1
121,"Chemical Engineering (4 Years, Bachelor of Technology)",34,12,4,8,2,3,2,3,0
121,"Civil Engineering (4 Years, Bachelor of Technology)",35,12,4,7,3,4,2,3,0
121,"Computer Science and Engineering (4 Years, Bachelor of Technology)",45,16,4,11,3,7,1,2,1
121,"Electrical Engineering (4 Years, Bachelor of Technology)",51,18,5,12,3,8,1,3,1
121,"Mechanical Engineering (4 Years, Bachelor of Technology)",44,16,4,11,2,6,1,3,1
122,"Chemical Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
122,"Civil Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
122,"Computer Science and Engineering (4 Years, Bachelor of Technology)",35,13,3,8,2,5,1,3,0
122,"Electrical Engineering (4 Years, Bachelor of Technology)",34,12,3,8,3,4,1,3,0
122,"Materials Engineering (4 Years, Bachelor of Technology)",34,13,2,9,2,4,1,2,1
122,"Mathematics and Computing (4 Years, Bachelor of Technology)",35,12,4,8,2,4,2,3,0
122,"Mechanical Engineering (4 Years, Bachelor of Technology)",34,13,3,8,2,5,1,2,0
123,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",13,4,1,3,1,2,1,1,0
123,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",14,5,1,3,1,2,1,1,0
123,"Computer Science and Engineering (4 Years, Bachelor of Technology)",56,20,5,13,4,7,2,4,1
123,"Electrical Engineering (4 Years, Bachelor of Technology)",52,18,5,12,3,7,2,4,1
123,"Engineering Physics (4 Years, Bachelor of Technology)",13,4,1,3,1,2,1,1,0
123,"Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",52,19,5,11,3,7,2,4,1
123,"Mathematics and Computing (4 Years, Bachelor of Technology)",25,9,2,5,2,4,1,2,0
123,"Mechanical Engineering (4 Years, Bachelor of Technology)",42,15,4,11,3,5,1,2,1
