Institute_Code,Program,Total_Pool,OPEN_Gender_Neutral,OPEN_Female_Only,OBC_NCL_Gender_Neutral,OBC_NCL_Female_Only,SC_Gender_Neutral,SC_Female_Only,ST_Gender_Neutral,ST_Female_Only
105,"Computer Science and Engineering (4 Years, Bachelor of Technology)",69,24,7,16,5,9,2,5,1
105,"Electrical Engineering (4 Years, Bachelor of Technology)",72,26,7,16,5,9,3,5,1
105,"Engineering Physics (4 Years, Bachelor of Technology)",18,6,2,5,1,2,1,1,0
105,"Mathematics and Computing (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
105,"Mechanical Engineering (4 Years, Bachelor of Technology)",73,26,7,17,5,9,3,5,1
105,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",46,17,4,10,3,6,2,3,1
105,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",18,6,2,5,1,2,1,1,0
106,"Aerospace Engineering (4 Years, Bachelor of Technology)",37,13,3,8,2,5,1,4,1
106,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",24,8,3,7,1,3,1,1,0
106,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",40,14,3,10,2,6,1,3,1
106,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",38,14,3,9,2,5,1,3,1
106,"Applied Geology (4 Years, Bachelor of Science)",44,16,4,11,2,6,1,3,1
106,"Architecture (5 Years, Bachelor of Architecture)",33,12,3,8,2,4,1,2,1
106,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",31,11,3,8,1,5,1,2,0
106,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",31,11,3,8,1,4,1,2,1
106,"Chemical Engineering (4 Years, Bachelor of Technology)",66,25,5,16,4,9,2,4,1
106,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",31,11,2,8,2,5,1,2,0
106,"Chemistry (4 Years, Bachelor of Science)",38,14,3,9,2,5,1,3,1
106,"Civil Engineering (4 Years, Bachelor of Technology)",73,27,6,18,4,10,2,5,1
106,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",30,11,3,7,2,4,1,2,0
106,"Computer Science and Engineering (4 Years, Bachelor of Technology)",67,25,5,17,4,9,2,4,1
106,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",52,19,4,13,3,7,2,3,1
106,"Economics (4 Years, Bachelor of Science)",50,18,4,13,3,7,1,3,1
106,"Electrical Engineering (4 Years, Bachelor of Technology)",67,25,5,17,4,9,2,4,1
106,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",29,11,3,7,1,4,1,2,0
106,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",72,28,6,19,4,10,1,4,0
106,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",52,19,4,13,3,7,2,3,1
106,"Exploration Geophysics (4 Years, Bachelor of Science)",38,14,3,9,2,5,1,3,1
106,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",37,13,3,9,2,5,1,3,1
106,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",26,10,3,6,1,3,1,2,0
106,"Instrumentation Engineering (4 Years, Bachelor of Technology)",38,13,3,9,2,6,1,3,1
106,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",38,14,3,9,2,5,1,3,1
106,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",20,7,2,5,1,3,1,1,0
106,"Mathematics and Computing (4 Years, Bachelor of Science)",59,22,5,15,3,7,2,4,1
106,"Mechanical Engineering (4 Years, Bachelor of Technology)",80,30,7,21,4,12,1,5,0
106,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",61,23,5,15,3,8,2,4,1
106,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",52,19,4,13,3,6,2,4,1
106,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,9,3,6,2,5,1,2,0
106,"Mining Engineering (4 Years, Bachelor of Technology)",53,19,4,13,3,7,2,4,1
106,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",26,9,3,6,1,3,1,3,0
106,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",24,9,3,6,1,3,1,1,0
106,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",39,14,3,10,2,5,1,3,1
106,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",29,10,2,7,2,5,1,2,0
106,"Physics (4 Years, Bachelor of Science)",43,16,4,10,2,6,1,3,1
107,"Artificial Intelligence (4 Years, Bachelor of Technology)",29,11,2,8,2,3,1,2,0
107,"Biomedical Engineering (4 Years, Bachelor of Technology)",22,7,2,5,2,3,1,2,0
107,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",21,8,2,4,1,3,1,2,0
107,"Chemical Engineering (4 Years, Bachelor of Technology)",39,15,4,9,2,4,1,3,1
107,"Civil Engineering (4 Years, Bachelor of Technology)",52,17,5,13,3,7,2,4,1
107,"Computational Engineering (4 Years, Bachelor of Technology)",22,8,2,4,1,3,1,2,1
107,"Computer Science and Engineering (4 Years, Bachelor of Technology)",56,19,5,14,3,8,2,4,1
107,"Electrical Engineering (4 Years, Bachelor of Technology)",56,19,5,14,4,7,2,4,1
107,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",21,8,2,4,1,3,1,2,0
107,"Engineering Physics (4 Years, Bachelor of Technology)",29,11,3,7,2,3,1,2,0
107,"Engineering Science (4 Years, Bachelor of Technology)",34,12,3,9,1,5,1,2,1
107,"Industrial Chemistry (4 Years, Bachelor of Technology)",21,8,2,4,1,3,1,2,0
107,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",30,11,3,8,2,4,1,1,0
107,"Mathematics and Computing (4 Years, Bachelor of Technology)",20,8,1,6,1,3,1,0,0
107,"Mechanical Engineering (4 Years, Bachelor of Technology)",56,19,5,14,4,8,1,4,1
108,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
108,"Bio Engineering (4 Years, Bachelor of Technology)",44,15,5,10,3,6,1,3,1
108,"Chemical Engineering (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
108,"Chemistry with Specialization (4 Years, Bachelor of Science)",27,11,3,6,1,3,1,2,0
108,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
